Dosya,Length,Chroma Stft Mean,Chroma Stft Var,RMS Mean,RMS Var,Spectral Centroid Mean,Spectral Centroid Var,Spectral Bandwidth Mean,Spectral Bandwidth Var,Rolloff Mean,Rolloff Var,Zero Crossing Rate Mean,Zero Crossing Rate Var,Tempo,Music Genre
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.4054303,0.07961382,0.126081,0.0011937716,2547.941286591576,889605.3363238826,2564.454616570559,332207.9309200069,5381.417951912716,4258012.8906015195,0.11915565828971675,0.003703171464109528,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.40421283,0.07947748,0.13615008,0.0007884108,2711.114081936222,576808.9673749685,2644.1889153069787,206968.88314677583,5693.596359779095,2964597.989259272,0.13148836784174878,0.0028264277575939345,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.36391166,0.085194714,0.08476261,0.0019825532,2034.8582469646549,816071.3317051096,2045.5221940094532,397597.80300505465,4062.946819436961,3656618.4699763493,0.0983327480372537,0.003913810202794171,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.41992763,0.07805789,0.12326763,0.0010204399,2625.8615225117683,737895.2988438809,2580.281916723134,282864.4419837422,5438.65861563847,3834614.089238153,0.1265766914254926,0.003041903195736053,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.38440588,0.07607709,0.13084345,0.00081920286,2714.9425031215383,632749.2319284788,2656.2208190699494,206693.01785808336,5678.228759765625,3136026.669194729,0.1321762911791872,0.0030584357269016994,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.2987779,0.08768308,0.14532703,0.0010417311,2268.97409446932,952110.0254512124,2414.4261980241,465640.63914578233,4775.823132745151,5610462.548576615,0.0986989589747537,0.0025003793493638977,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.34879556,0.084244974,0.13484801,0.0008371106,2435.8075842410876,906308.9693110429,2498.9626615990624,394624.069033923,5109.707115436422,4920300.940777509,0.11128783578355911,0.002967849585714856,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.43694666,0.08110087,0.04176168,0.0017314565,2952.4255366099114,1317910.9127882267,2681.6004184036,225939.45422271732,5949.210331357759,4144340.018528324,0.16610823006465517,0.01612269666779319,172.265625,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.25921544,0.07845775,0.124429464,0.0032549384,2610.8721971551113,215262.2826587995,2297.7294312641843,138075.8662276141,4950.209604024301,1310405.9696977832,0.1389295123425983,0.001666358963591242,112.34714673913044,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.29396597,0.08141786,0.15310642,0.0013249299,2792.543567228766,282271.99968379684,2396.301399962261,60912.92691746041,5339.903705418842,991963.0075415669,0.15774333682048525,0.002780482788986335,107.666015625,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.2863908,0.087264,0.15986314,0.0022300554,2550.2099788529617,504017.08957876224,2343.816468913582,90313.87523296932,5030.535858679169,1554980.9360827245,0.13292437279253685,0.004720278328104495,107.666015625,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.28379834,0.08473655,0.15432793,0.0022367954,2615.4698197613484,428422.2048620788,2339.207490717231,49316.06053210189,5127.686581623349,1004050.9599659878,0.14117116717214373,0.005541118433167787,161.4990234375,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.29526162,0.08939763,0.15713573,0.0025381597,2553.4536106816695,270013.8255919939,2338.4309808710063,47021.42182873301,5104.843926956964,825759.7771480988,0.13237640605804668,0.0028474690291671262,107.666015625,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.3074266,0.08201926,0.14872134,0.001268268,2889.7805778889897,355705.72332676896,2430.805067616049,39497.35987314785,5544.766737729385,918922.9472243296,0.16781398763820637,0.0046782271651273355,107.666015625,unknown
